Iteración,x_n,f(x_n),f'(x_n),x_n+1,Error
34,152.55716564625249,-5.738827624937961e+21,-1.7592658428458151e+21,149.2951074142489,3.2620582320035965
35,149.2951074142489,-2.110707131344936e+21,-6.473499579020358e+20,146.0345725125623,3.260534901686583
36,146.0345725125623,-7.762978633238613e+20,-2.382052088672779e+20,142.77562671949866,3.2589457930636456
37,142.77562671949866,-2.855118446136204e+20,-8.76532773648083e+19,139.51834013310742,3.2572865863912455
38,139.51834013310742,-1.0500618451728718e+20,-3.2254488911585313e+19,136.26278755544524,3.255552577662172
39,136.26278755544524,-3.861893479544659e+19,-1.1869095562368565e+19,133.0090489203053,3.253738635139939
40,133.0090489203053,-1.420299679924e+19,-4.3676812242514186e+18,129.75720977041993,3.2518391498853703
41,129.75720977041993,-5.223403306134177e+18,-1.6072761985865756e+18,126.507361791132,3.249847979287935
42,126.507361791132,-1.9209698435180908e+18,-5.91475601729784e+17,123.25960340870647,3.2477583824255305
43,123.25960340870647,-7.06448408327705e+17,-2.1766590884705098e+17,120.01404046286127,3.245562945845194
44,120.01404046286127,-2.5979615471464208e+17,-8.010356109038118e+16,116.77078696478628,3.243253498074992
45,116.77078696478628,-9.553813063598544e+16,-2.947960727135157e+16,113.52996595395722,3.240821010829066
46,113.52996595395722,-3.5132724919487216e+16,-1.0849275200282864e+16,110.29171046951977,3.2382554844374454
47,110.29171046951977,-1.291924854380888e+16,-3992911639798842.5,107.05616465502243,3.2355458144973426
48,107.05616465502243,-4750640357675466.0,-1469567322620545.0,103.82348501894826,3.2326796360741668
49,103.82348501894826,-1746849933543894.2,-540880170753167.9,100.5938418780074,3.2296431409408655
50,100.5938418780074,-642312733406195.1,-199079029309175.94,97.36742101572429,3.2264208622831063
51,97.36742101572429,-236169478476655.72,-73276392828508.69,94.14442559577545,3.2229954199488446
52,94.14442559577545,-86833233941945.33,-26972310867043.598,90.92507837817966,3.2193472175957822
53,90.92507837817966,-31925053248659.19,-9928629812696.543,87.70962429731202,3.2154540808676444
54,87.70962429731202,-11737051432539.219,-3654932573851.598,84.49833347446365,3.211290822848369
55,84.49833347446365,-4314854299092.4316,-1345520661316.7947,81.2915047551858,3.2068287192778513
56,81.2915047551858,-1586173716779.6533,-495364285729.32117,78.08946988413258,3.2020348710532147
57,78.08946988413258,-583055959317.0392,-182383299736.6436,74.8925984591778,3.1968714249547787
58,74.8925984591778,-214309576083.2736,-67154431651.41162,71.70130384446463,3.191294614713172
59,71.70130384446463,-78766443946.07405,-24728468911.728874,68.51605027186214,3.185253572602491
60,68.51605027186214,-28947101908.36847,-9106617009.661808,65.3373614264153,3.1786888454468425
61,65.3373614264153,-10637222781.167833,-3353971431.9470763,62.16583089999319,3.17153052642211
62,62.16583089999319,-3908453445.0915303,-1235407444.3732946,59.00213501739776,3.1636958825954267
63,59.00213501739776,-1435913330.2161179,-455110633.2656953,55.84704870374131,3.1550863136564544
64,55.84704870374131,-527460268.8871546,-167682810.96422237,52.701465290306665,3.145583413434643
65,52.701465290306665,-193722181.64089313,-61792495.80588052,49.56642147771385,3.135043812592812
66,49.56642147771385,-71135196.63856052,-22775708.722706147,46.44312913565634,3.1232923420575105
67,46.44312913565634,-26114985.909436822,-8396796.906453235,43.3330162913923,3.1101128442640444
68,43.3330162913923,-9584636.063907027,-3096577.2037972305,40.23778067054173,3.0952356208505662
69,40.23778067054173,-3516552.8992625833,-1142361.0858613423,37.15946073931693,3.0783199312248044
